number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
152,"[0.6247018854183528, 1.1320932901739715]",0.148265166,0.369545047,0.003950256,3,18.38617027,0.698015975,33.7739004,0.499887958,23.86250326,0.450663623,,,,,,,,,"[18.386170271815704, 33.77390039620012, 23.86250326101225]",0.148265166,0.003950256,3,0.369545047,"[0.4234075652650561, 0.3032256434293567, 0.27336679130558716]"
157,"[0.8394110370932584, 0.8883383992100513]",0.089171038,0.420381746,0.004392169,2,25.61840145,0.952238952,27.20570885,0.79363102,,,,,,,,,,,"[25.61840145128514, 27.20570884971215]",0.089171038,0.004392169,2,0.420381746,"[0.5454237525699225, 0.4545762474300775]"
164,"[0.8394755658977329, 1.511746031201409]",0.08597448,0.492241057,0.003480367,5,23.59453468,0.107226046,33.7739004,0.947608061,31.38957757,0.017068792,30.96137765,0.25401097,28.13313241,0.480954247,,,,,"[23.594534676339396, 33.77390039620012, 31.389577570415334, 30.96137764607093, 28.13313241168721]",0.08597448,0.003480367,5,0.492241057,"[0.059343592848352715, 0.5244478291861392, 0.009446617334233194, 0.1405808026732046, 0.2661811579580703]"
165,"[1.1123186122934994, 1.3506962919844383]",0.174509997,0.151309064,0.001326592,7,25.61840145,0.818547352,18.83281131,0.26014362,35.16850708,0.895356431,24.07150322,0.658540466,27.64460412,0.093286697,18.03005152,0.488147604,27.85357058,0.657013487,"[25.61840145128514, 18.832811310679844, 35.16850707902937, 24.071503215913978, 27.64460411510008, 18.030051517336666, 27.85357057713047]",0.174509997,0.001326592,7,0.151309064,"[0.2114543560124965, 0.06720258955687113, 0.23129635331275517, 0.17011996902263896, 0.02409864051464112, 0.1261025853073391, 0.16972550627325805]"
175,"[0.6369011479056185, 2.181722123267019]",0.138113559,0.369545047,0.004453218,5,18.17083876,0.811968443,15.7490152,0.172859245,39.05598942,0.325903526,18.17881244,0.56887089,34.08930508,0.999900736,,,,,"[18.1708387639168, 15.749015197915853, 39.05598942331579, 18.178812443273635, 34.08930508242423]",0.138113559,0.004453218,5,0.369545047,"[0.28198216430274037, 0.0600309340812819, 0.11318048420483241, 0.197558718092635, 0.34724769931851035]"
182,"[0.882443051175444, 4.641591796501149]",0.085955293,0.595570797,0.007519579,7,34.04959117,0.089432045,17.71011615,0.138496624,19.37043493,0.990405239,17.44837996,0.643447231,17.78139643,0.523624783,31.04196916,0.287493302,19.37799871,0.121145282,"[34.049591168916166, 17.71011614872505, 19.370434934254558, 17.44837996336653, 17.78139643153722, 31.04196915970398, 19.3779987052085]",0.085955293,0.007519579,7,0.595570797,"[0.032008096114145956, 0.04956851024098159, 0.35447010122564004, 0.2302924055523838, 0.18740745969822178, 0.10289503327280487, 0.043358393895821974]"
196,"[0.6939498396857748, 0.9497274314864921]",0.148265166,0.369545047,0.007480729,4,25.61840145,0.358951008,24.30021738,0.189772598,20.29081119,0.097231996,35.41450965,0.8704452,,,,,,,"[25.61840145128514, 24.30021738324406, 20.290811189148908, 35.41450965017141]",0.148265166,0.007480729,4,0.369545047,"[0.23671248906581105, 0.1251467276838934, 0.06412024848298939, 0.5740205347673061]"
203,"[0.778201294336152, 3.6612149488087393]",0.1452613,0.407450694,0.007519579,7,28.5191187,0.095388419,26.13449542,0.943459646,22.82826628,0.948366871,24.7902102,0.216896309,16.22398739,0.612164324,37.24187372,0.659089909,27.66058585,0.295115785,"[28.51911869871327, 26.134495422247944, 22.828266275416908, 24.79021019917377, 16.223987386830068, 37.24187371590779, 27.660585849586784]",0.1452613,0.007519579,7,0.407450694,"[0.02529873833973504, 0.2502226056699253, 0.25152409054976615, 0.057524833929043284, 0.16235707896766016, 0.17480259504523418, 0.0782700574986358]"
211,"[0.8891835494649485, 0.9095208171053757]",0.074014245,0.051611089,0.001401846,4,25.61840145,0.881878081,39.45484711,0.794768213,15.65529414,0.529180913,28.4984375,0.074809721,,,,,,,"[25.61840145128514, 39.45484711249573, 15.655294143794357, 28.498437501339865]",0.074014245,0.001401846,4,0.051611089,"[0.38668061109071816, 0.34848519872497846, 0.23203207252623217, 0.03280211765807121]"
215,"[0.8166526988769134, 15.318499897080109]",0.089171038,0.457028577,0.003871057,2,25.61840145,0.358951008,17.18314123,0.189772598,,,,,,,,,,,"[25.61840145128514, 17.183141234960065]",0.089171038,0.003871057,2,0.457028577,"[0.6541563075054779, 0.34584369249452207]"
218,"[0.8184426542245383, 1.1188968007964808]",0.063400363,0.328621137,0.001445522,7,18.17083876,0.811968443,15.7490152,0.79363102,37.39146352,0.795090011,29.91927933,0.070146251,34.87467313,0.678907288,36.77049113,0.13509043,21.34119779,0.667231069,"[18.1708387639168, 15.749015197915853, 37.39146351777155, 29.91927932532191, 34.87467313101122, 36.770491126705394, 21.341197788219425]",0.063400363,0.001445522,7,0.328621137,"[0.20545424817843053, 0.2008142878300274, 0.20118345961270853, 0.01774926760153973, 0.17178547720465845, 0.034182243030577444, 0.1688310165420579]"
221,"[0.8496057401120974, 0.8508867619173023]",0.074014245,0.051611089,0.002463835,4,25.65468786,0.409441682,22.69585351,0.36685808,34.07311415,0.999442062,19.52572119,0.811717168,,,,,,,"[25.654687856651734, 22.695853512080973, 34.073114148226985, 19.525721188425322]",0.074014245,0.002463835,4,0.051611089,"[0.15824083903599076, 0.14178314765283112, 0.38626392345845234, 0.31371208985272586]"
226,"[0.7264512080605579, 3.253547861417567]",0.148265166,0.369545047,0.006904645,7,34.04959117,0.933678683,15.7490152,0.921848907,27.58993274,0.360394565,31.94371987,0.755537026,39.16362276,0.118276736,24.42401175,0.08699585,34.58512922,0.394577711,"[34.049591168916166, 15.749015197915853, 27.589932738632946, 31.94371986663983, 39.163622763970295, 24.424011748038666, 34.58512922016209]",0.148265166,0.006904645,7,0.369545047,"[0.26143874914681486, 0.2581263014120107, 0.1009138433946894, 0.2115574218388949, 0.033118590348934794, 0.024359650435335632, 0.11048544342331965]"
229,"[0.6096064934371628, 1.2963560759404609]",0.135831068,0.251643887,0.007710047,4,20.02201099,0.360983458,34.91316431,0.359199125,18.61811121,0.497691956,32.96712448,0.285380904,,,,,,,"[20.022010988633276, 34.91316430667953, 18.6181112069023, 32.96712447613659]",0.135831068,0.007710047,4,0.251643887,"[0.24013447587546777, 0.23894749686945008, 0.33107610453920877, 0.1898419227158733]"
231,"[0.8451737269325589, 0.8691885337656706]",0.135831068,0.060182918,0.005552194,5,20.77308379,0.68356569,20.96438239,0.557608877,24.54137361,0.523447132,19.23369181,0.714787207,21.56947823,0.532308875,,,,,"[20.773083794771086, 20.964382388877493, 24.541373607215952, 19.233691809440508, 21.569478234414404]",0.135831068,0.005552194,5,0.060182918,"[0.22696870695118598, 0.1851464572222421, 0.1738035134326361, 0.23733538755458378, 0.176745934839352]"
234,"[0.8321499386020815, 1.087618782371805]",0.089171038,0.457028577,0.002497642,4,18.75189321,0.286162638,33.7739004,0.340370051,16.17574614,0.323344414,16.84001072,0.38679322,,,,,,,"[18.75189320620461, 33.77390039620012, 16.1757461373058, 16.84001071519295]",0.089171038,0.002497642,4,0.457028577,"[0.2140861760317541, 0.25464023915617057, 0.2419028902402092, 0.28937069457186615]"
237,"[0.9024362550138945, 0.9507688047433712]",0.138113559,0.290433064,0.003871057,5,35.38589782,0.680227001,26.13449542,0.110766194,27.0019235,0.848719236,38.29164635,0.072745533,35.61168149,0.910011594,,,,,"[35.385897821394785, 26.134495422247944, 27.001923499329003, 38.29164634536135, 35.611681492234354]",0.138113559,0.003871057,5,0.290433064,"[0.2593841361602165, 0.042237361213532706, 0.32363358928355135, 0.027739324148321354, 0.347005589194378]"
238,"[0.8597539956767465, 0.8711544642734431]",0.052685684,0.534068606,0.002959721,7,38.64371588,0.141834409,29.88887047,0.921848907,29.89055534,0.153547853,34.43219073,0.435232367,39.74124455,0.952994465,22.00207164,0.507535995,38.17028498,0.879253015,"[38.643715878374024, 29.888870471576126, 29.890555339817777, 34.4321907254602, 39.741244549644094, 22.00207164451313, 38.17028497951823]",0.052685684,0.002959721,7,0.534068606,"[0.03552746328516768, 0.23090978702793757, 0.03846151117835132, 0.10901939822971712, 0.23871129786547407, 0.1271304088164619, 0.2202401335968903]"
249,"[0.6524203892830466, 0.9585113595709986]",0.1452613,0.407450694,0.007122385,5,20.77308379,0.73196788,24.30021738,0.943459646,34.26670509,0.660930746,39.37852932,0.784656851,33.32037594,0.875248357,,,,,"[20.773083794771086, 24.30021738324406, 34.26670509481839, 39.378529318038744, 33.320375935641216]",0.1452613,0.007122385,5,0.407450694,"[0.18316306803920326, 0.23608544609689402, 0.16538717966072464, 0.19634762692158905, 0.219016679281589]"
250,"[0.8395049147506902, 0.9050951177899981]",0.076701637,0.061572582,0.007519579,7,37.23533237,0.942191958,15.7490152,0.943459646,35.75963952,0.872263893,24.21623422,0.538521263,31.02014889,0.8733823,37.0677298,0.992708632,31.07541525,0.949105524,"[37.235332370708505, 15.749015197915853, 35.759639523441834, 24.2162342188934, 31.020148888805387, 37.06772979871559, 31.07541524546427]",0.076701637,0.007519579,7,0.061572582,"[0.15416369483727838, 0.15437111697899997, 0.14272189808093727, 0.0881141331587704, 0.14290489452780195, 0.1624293534644961, 0.1552949089517159]"
266,"[0.8053452394572113, 0.8302559152690112]",0.138113559,0.021918241,0.007496929,6,20.02201099,0.73196788,33.31109848,0.765453912,37.67685607,0.167875354,22.7993833,0.767194721,15.5253473,0.86078665,24.9779603,0.24497029,,,"[20.022010988633276, 33.31109848129806, 37.67685607487444, 22.79938329553172, 15.525347296006862, 24.977960303070013]",0.138113559,0.007496929,6,0.021918241,"[0.20687292489002987, 0.2163369377548633, 0.04744588725923128, 0.21682893522828345, 0.24328041845802303, 0.06923489640956906]"
281,"[0.6508117638914034, 0.9206646198957399]",0.135831068,0.251849145,0.007710047,6,20.02201099,0.360983458,34.91316431,0.359199125,30.8652727,0.320060859,37.18223374,0.398606486,25.5138166,0.918034125,18.19734495,0.289446252,,,"[20.022010988633276, 34.91316430667953, 30.865272704331367, 37.18223374125145, 25.51381660319576, 18.197344949133075]",0.135831068,0.007710047,6,0.251849145,"[0.13640907076517209, 0.1357348039709588, 0.12094516625516108, 0.15062612766264907, 0.3469083671534539, 0.10937646419260502]"
286,"[0.7684852986754802, 4.253721229777481]",0.076701637,0.590923124,0.007496929,4,20.77308379,0.468169312,24.95271575,0.943459646,27.54458258,0.772409735,21.46310423,0.714239795,,,,,,,"[20.773083794771086, 24.952715754119584, 27.54458258140037, 21.46310423328184]",0.076701637,0.007496929,4,0.590923124,"[0.16153358416411448, 0.3255241516872276, 0.2665063891877695, 0.24643587496088853]"
289,"[0.6015272616917885, 0.85628647292729]",0.138113559,0.258741778,0.007496929,5,20.02201099,0.73196788,34.91316431,0.765453912,39.74522799,0.563756563,25.02104181,0.402432574,26.74596748,0.8897654,,,,,"[20.022010988633276, 34.91316430667953, 39.74522798768966, 25.0210418056921, 26.745967480329384]",0.138113559,0.007496929,5,0.258741778,"[0.21827788113868146, 0.2282636474070474, 0.16811610385919262, 0.12000817512798354, 0.26533419246709494]"
